Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Trevo1,Trevo2,Ganhadores 6 Números + 2 Trevos,Cidade / UF,Rateio 6 acertos + 2 Trevos,Ganhadores 6  acertos + 1 ou nenhum Trevo,Rateio 6  acertos + 1  ou nenhum Trevo ,Ganhadores 5  acertos + 2 Trevos ,Rateio 5  acertos + 2 Trevos ,Ganhadores 5 acertos + 1 ou nenhum Trevo ,Rateio 5  acertos + 1 ou nenhum Trevo,Ganhadores 4  acertos + 2 Trevos ,Rateio 4  acertos + 2 Trevos ,Ganhadores 4  acertos + 1 ou nenhum Trevo ,Rateio 4  acertos + 1 ou nenhum Trevo ,Ganhadores 3  acertos + 2 Trevos ,Rateio 3  acertos + 2 Trevos ,Ganhadores 3  acertos + 1 Trevo  ,Rateio 3  acertos + 1 Trevo  ,Ganhadores 2  acertos + 2 Trevos ,Rateio 2  acertos + 2 Trevos ,Ganhadores 2  acertos + 1 Trevo  ,Rateio 2  acertos + 1 Trevo  ,Acumulado 6 acertos + 2 Trevos,Arrecadacao Total,Estimativa Prêmio,Observação
1,28/05/2022,1,3,7,15,23,44,2,4,0,,"R$0,00",1,"R$392.567,53",6,"R$52.342,34",80,"R$3.925,67",227,"R$1.482,31",3501,"R$96,11",4725,"R$50,00",34159,"R$24,00",33671,"R$12,00",243056,"R$6,00",Sim,"R$20.704.332,00","R$10.000.000,00",
2,04/06/2022,13,16,35,41,42,47,2,6,0,,"R$0,00",0,"R$0,00",1,"R$327.486,37",20,"R$7.277,48",76,"R$1.436,34",1010,"R$154,40",1547,"R$50,00",11137,"R$24,00",12908,"R$12,00",89778,"R$6,00",Sim,"R$8.832.150,00","R$10.000.000,00",
3,11/06/2022,1,9,17,30,31,44,1,4,0,,"R$0,00",0,"R$0,00",0,"R$0,00",19,"R$20.410,25",60,"R$1.491,52",1031,"R$124,00",1200,"R$50,00",10591,"R$24,00",8978,"R$12,00",82063,"R$6,00",Sim,"R$7.394.010,00","R$10.000.000,00",
4,18/06/2022,6,23,25,33,34,47,1,2,0,,"R$0,00",0,"R$0,00",0,"R$0,00",28,"R$11.108,46",40,"R$1.794,44",882,"R$116,25",854,"R$50,00",9146,"R$24,00",6508,"R$12,00",71386,"R$6,00",Sim,"R$6.016.170,00","R$10.000.000,00",
5,25/06/2022,6,16,21,24,26,45,2,5,0,,"R$0,00",0,"R$0,00",2,"R$100.965,13",10,"R$8.974,68",59,"R$1.629,78",580,"R$165,78",1055,"R$50,00",6995,"R$24,00",9061,"R$12,00",57626,"R$6,00",Sim,"R$5.530.842,00","R$10.000.000,00",
6,02/07/2022,1,19,22,32,39,45,1,5,0,,"R$0,00",0,"R$0,00",0,"R$0,00",11,"R$26.091,29",45,"R$1.471,82",663,"R$142,71",1028,"R$50,00",7362,"R$24,00",7834,"R$12,00",60497,"R$6,00",Sim,"R$5.492.682,00","R$10.000.000,00",
7,09/07/2022,9,12,35,44,47,48,1,5,0,,"R$0,00",0,"R$0,00",0,"R$0,00",15,"R$19.592,68",37,"R$1.833,00",799,"R$121,26",1044,"R$50,00",8342,"R$24,00",7909,"R$12,00",63562,"R$6,00",Sim,"R$5.690.448,00","R$10.000.000,00",
8,16/07/2022,1,4,5,16,38,50,1,3,0,,"R$0,00",0,"R$0,00",1,"R$175.341,93",11,"R$7.084,52",49,"R$1.704,00",807,"R$103,46",929,"R$50,00",8915,"R$24,00",7292,"R$12,00",61817,"R$6,00",Sim,"R$5.124.552,00","R$10.000.000,00",
9,23/07/2022,6,11,12,14,15,18,3,4,0,,"R$0,00",0,"R$0,00",0,"R$0,00",30,"R$8.970,13",57,"R$1.556,41",897,"R$98,90",1117,"R$50,00",7866,"R$24,00",8596,"R$12,00",61176,"R$6,00",Sim,"R$5.326.134,00","R$10.000.000,00",
10,30/07/2022,4,6,10,42,47,48,2,5,0,,"R$0,00",0,"R$0,00",1,"R$203.478,92",12,"R$7.536,26",37,"R$1.833,14",637,"R$152,11",1112,"R$50,00",7812,"R$24,00",9817,"R$12,00",64285,"R$6,00",Sim,"R$5.734.266,00","R$10.000.000,00",
11,06/08/2022,4,13,15,31,39,45,2,4,0,,"R$0,00",0,"R$0,00",0,"R$0,00",17,"R$16.930,65",62,"R$1.530,42",678,"R$139,94",1153,"R$50,00",7695,"R$24,00",8934,"R$12,00",59931,"R$6,00",Sim,"R$5.561.970,00","R$11.000.000,00",
12,13/08/2022,6,20,24,26,31,50,1,5,0,,"R$0,00",0,"R$0,00",1,"R$193.462,70",8,"R$10.747,93",52,"R$1.771,63",857,"R$107,49",1013,"R$50,00",7819,"R$24,00",7732,"R$12,00",57420,"R$6,00",Sim,"R$5.368.854,00","R$11.500.000,00",
